,,Barack Obama:Democratic,,,John McCain:Republican,,,Ralph Nader:Independent,,,Bob Barr:Libertarian,,,Chuck Baldwin:Constitution,,,Cynthia McKinney:Green,,,Others,,,Total votes
Montana,3,"231,667",47.25,0,"242,763",49.51,3,"3,686",0.75,0,"1,355",0.28,0,143,0.03,0,23,0.00,0,"10,665",2.18,0,"490,302"
Nebraska †,2,"333,319",41.60,0,"452,979",56.53,2,"5,406",0.67,0,"2,740",0.34,0,"2,972",0.37,0,"1,028",0.13,0,"2,837",0.35,0,"801,281"
Nebraska's 1st,1,"121,411",44.33,0,"148,179",54.10,1,"1,963",0.72,0,922,0.34,0,"1,024",0.37,0,394,0.14,0,,,0,"273,893"
Nebraska's 2nd,1,"138,809",49.97,1,"135,439",48.75,0,"1,628",0.59,0,"1,014",0.36,0,599,0.22,0,320,0.12,0,,,0,"277,809"
Nebraska's 3rd,1,"73,099",29.63,0,"169,361",68.64,1,"1,815",0.74,0,804,0.33,0,"1,349",0.55,0,314,0.13,0,,,0,"246,742"
Nevada,5,"533,736",55.15,5,"412,827",42.65,0,"6,150",0.64,0,"4,263",0.44,0,"3,194",0.33,0,"1,411",0.15,0,"6,267",0.65,0,"967,848"
New Hampshire,4,"384,826",54.13,4,"316,534",44.52,0,"3,503",0.49,0,"2,217",0.31,0,226,0.03,0,40,0.01,0,"3,624",0.51,0,"710,970"
New Jersey,15,"2,215,422",57.27,15,"1,613,207",41.70,0,"21,298",0.55,0,"8,441",0.22,0,"3,956",0.10,0,"3,636",0.09,0,"2,277",0.06,0,"3,868,237"
New Mexico,5,"472,422",56.91,5,"346,832",41.78,0,"5,327",0.64,0,"2,428",0.29,0,"1,597",0.19,0,"1,552",0.19,0,0,0.00,0,"830,158"
New York,31,"4,804,945",62.88,31,"2,752,771",36.03,0,"41,249",0.54,0,"19,596",0.26,0,634,0.01,0,"12,801",0.17,0,"8,935",0.12,0,"7,640,931"
North Carolina,15,"2,142,651",49.70,15,"2,128,474",49.38,0,"1,448",0.03,0,"25,722",0.60,0,0,0.00,0,158,0.00,0,"12,336",0.29,0,"4,310,789"
North Dakota,3,"141,278",44.62,0,"168,601",53.25,3,"4,189",1.32,0,"1,354",0.43,0,"1,199",0.38,0,0,0.00,0,0,0.00,0,"316,621"
Ohio,20,"2,940,044",51.50,20,"2,677,820",46.91,0,"42,337",0.74,0,"19,917",0.35,0,"12,565",0.22,0,"8,518",0.15,0,"7,149",0.13,0,"5,708,350"
Oklahoma,7,"502,496",34.35,0,"960,165",65.65,7,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,"1,462,661"
Oregon,7,"1,037,291",56.75,7,"738,475",40.40,0,"18,614",1.02,0,"7,635",0.42,0,"7,693",0.42,0,"4,543",0.25,0,"13,613",0.74,0,"1,827,864"
Pennsylvania,21,"3,276,363",54.49,21,"2,655,885",44.17,0,"42,977",0.71,0,"19,912",0.33,0,"1,092",0.02,0,0,0.00,0,"17,043",0.28,0,"6,013,272"
Rhode Island,4,"296,571",62.86,4,"165,391",35.06,0,"4,829",1.02,0,"1,382",0.29,0,675,0.14,0,797,0.17,0,"2,121",0.45,0,"471,766"
South Carolina,8,"862,449",44.90,0,"1,034,896",53.87,8,"5,053",0.26,0,"7,283",0.38,0,"6,827",0.36,0,"4,461",0.23,0,0,0.00,0,"1,920,969"
South Dakota,3,"170,924",44.75,0,"203,054",53.16,3,"4,267",1.12,0,"1,835",0.48,0,"1,895",0.50,0,0,0.00,0,0,0.00,0,"381,975"
Tennessee,11,"1,087,437",41.83,0,"1,479,178",56.90,11,"11,560",0.44,0,"8,547",0.33,0,"8,191",0.32,0,"2,499",0.10,0,"2,337",0.09,0,"2,599,749"
Texas,34,"3,528,633",43.68,0,"4,479,328",55.45,34,"5,751",0.07,0,"56,116",0.69,0,"5,708",0.07,0,909,0.01,0,"1,350",0.02,0,"8,077,795"
Utah,5,"327,670",34.41,0,"596,030",62.58,5,"8,416",0.88,0,"6,966",0.73,0,"12,012",1.26,0,982,0.10,0,294,0.03,0,"952,370"
Vermont,3,"219,262",67.46,3,"98,974",30.45,0,"3,339",1.03,0,"1,067",0.33,0,500,0.15,0,66,0.02,0,"1,838",0.57,0,"325,046"
Virginia,13,"1,959,532",52.63,13,"1,725,005",46.33,0,"11,483",0.31,0,"11,067",0.30,0,"7,474",0.20,0,"2,344",0.06,0,"6,355",0.17,0,"3,723,260"
Washington,11,"1,750,848",57.65,11,"1,229,216",40.48,0,"29,489",0.97,0,"12,728",0.42,0,"9,432",0.31,0,"3,819",0.13,0,"1,346",0.04,0,"3,036,878"
West Virginia,5,"303,857",42.59,0,"397,466",55.71,5,"7,219",1.01,0,0,0.00,0,"2,465",0.35,0,"2,355",0.33,0,89,0.01,0,"713,451"
Wisconsin,10,"1,677,211",56.22,10,"1,262,393",42.31,0,"17,605",0.59,0,"8,858",0.30,0,"5,072",0.17,0,"4,216",0.14,0,"8,062",0.27,0,"2,983,417"
Wyoming,3,"82,868",32.54,0,"164,958",64.78,3,"2,525",0.99,0,"1,594",0.63,0,"1,192",0.47,0,0,0.00,0,"1,521",0.60,0,"254,658"
U.S. Total,538,"69,498,516",52.93,365,"59,948,323",45.65,173,"739,034",0.56,0,"523,715",0.40,0,"199,750",0.15,0,"161,797",0.12,0,"242,685",0.18,0,"131,313,820"
