State,EV,Roosevelt/Garner:Democratic,,,Hoover/Curtis:Republican,,,Thomas/Maurer:Socialist,,,Other,,,Total votes
Missouri,15,"1,025,406",63.69,15,"564,713",35.08,–,"16,374",1.02,–,"3,401",0.21,–,"1,609,894"
Montana,4,"127,286",58.80,4,"78,078",36.07,–,"7,891",3.65,–,"3,224",1.49,–,"216,479"
Nebraska,7,"359,082",62.98,7,"201,177",35.29,–,"9,876",1.73,–,2,0.00,–,"570,137"
Nevada,3,"28,756",69.41,3,"12,674",30.59,–,–,–,–,–,–,–,"41,430"
New Hampshire,4,"100,680",48.99,–,"103,629",50.42,4,947,0.46,–,264,0.13,–,"205,520"
New Jersey,16,"806,394",49.49,16,"775,406",47.59,–,"42,988",2.64,–,"4,719",0.29,–,"1,629,507"
New Mexico,3,"95,089",62.72,3,"54,217",35.76,–,"1,776",1.17,–,524,0.35,–,"151,606"
New York,47,"2,534,959",54.07,47,"1,937,963",41.33,–,"177,397",3.78,–,"38,295",0.82,–,"4,688,614"
North Carolina,13,"497,566",69.93,13,"208,344",29.28,–,"5,591",0.79,–,–,–,–,"711,501"
North Dakota,4,"178,350",69.59,4,"71,772",28.00,–,"3,521",1.37,–,"2,647",1.03,–,"256,290"
Ohio,26,"1,301,695",49.88,26,"1,227,319",47.03,–,"64,094",2.46,–,"16,620",0.64,–,"2,609,728"
Oklahoma,11,"516,468",73.30,11,"188,165",26.70,–,–,–,–,–,–,–,"704,633"
Oregon,5,"213,871",57.99,5,"136,019",36.88,–,"15,450",4.19,–,"3,468",0.94,–,"368,808"
Pennsylvania,36,"1,295,948",45.33,–,"1,453,540",50.84,36,"91,223",3.19,–,"18,466",0.65,–,"2,859,177"
Rhode Island,4,"146,604",55.08,4,"115,266",43.31,–,"3,138",1.18,–,"1,162",0.44,–,"266,170"
South Carolina,8,"102,347",98.03,8,"1,978",1.89,–,82,0.08,–,–,–,–,"104,407"
South Dakota,4,"183,515",63.62,4,"99,212",34.40,–,"1,551",0.54,–,"4,160",1.44,–,"288,438"
Tennessee,11,"259,473",66.49,11,"126,752",32.48,–,"1,796",0.46,–,"2,235",0.57,–,"390,256"
Texas,23,"760,348",88.06,23,"97,959",11.35,–,"4,450",0.52,–,669,0.08,–,"863,426"
Utah,4,"116,750",56.52,4,"84,795",41.05,–,"4,087",1.98,–,946,0.46,–,"206,578"
Vermont,3,"56,266",41.08,–,"78,984",57.66,3,"1,533",1.12,–,197,0.14,–,"136,980"
Virginia,11,"203,979",68.46,11,"89,637",30.09,–,"2,382",0.80,–,"1,944",0.65,–,"297,942"
Washington,8,"353,260",57.46,8,"208,645",33.94,–,"17,080",2.78,–,"35,829",5.83,–,"614,814"
West Virginia,8,"405,124",54.47,8,"330,731",44.47,–,"5,133",0.69,–,"2,786",0.37,–,"743,774"
Wisconsin,12,"707,410",63.46,12,"347,741",31.19,–,"53,379",4.79,–,"6,278",0.56,–,"1,114,808"
Wyoming,3,"54,370",56.07,3,"39,583",40.82,–,"2,829",2.92,–,180,0.19,–,"96,962"
Total,531,"22,821,277",57.41,472,"15,761,254",39.65,59,"884,885",2.23,–,"284,482",0.72,,"39,751,898"
