,,Herbert Hoover:Republican,,,Al Smith:Democratic,,,Norman Thomas:Socialist,,,William Foster:Communist,,,Verne Reynolds:Socialist Labor,,,State Total
Nevada,3,"18,327",56.54,3,"14,090",43.46,-,-,-,-,-,-,-,-,-,-,"32,417"
New Hampshire,4,"115,404",58.65,4,"80,715",41.02,-,465,0.24,-,173,0.09,-,-,-,-,"196,757"
New Jersey,14,"925,285",59.77,14,"616,162",39.80,-,"4,866",0.31,-,"1,240",0.08,-,488,0.03,-,"1,548,195"
New Mexico,3,"69,645",59.01,3,"48,211",40.85,-,-,-,-,158,0.13,-,-,-,-,"118,014"
New York,45,"2,193,344",49.79,45,"2,089,863",47.44,-,"107,332",2.44,-,"10,876",0.25,-,"4,211",0.10,-,"4,405,626"
North Carolina,12,"348,923",54.94,12,"286,227",45.06,-,-,-,-,-,-,-,-,-,-,"635,150"
North Dakota,5,"131,441",54.80,5,"106,648",44.46,-,936,0.39,-,842,0.35,-,-,-,-,"239,867"
Ohio,24,"1,627,546",64.89,24,"864,210",34.45,-,"8,683",0.35,-,"2,836",0.11,-,"1,515",0.06,-,"2,508,346"
Oklahoma,10,"394,046",63.72,10,"219,174",35.44,-,"3,924",0.63,-,-,-,-,-,-,-,"618,427"
Oregon,5,"205,341",64.18,5,"109,223",34.14,-,"2,720",0.85,-,"1,094",0.34,-,"1,564",0.49,-,"319,942"
Pennsylvania,38,"2,055,382",65.24,38,"1,067,586",33.89,-,"18,647",0.59,-,"4,726",0.15,-,380,0.01,-,"3,150,610"
Rhode Island,5,"117,522",49.55,-,"118,973",50.16,5,-,-,-,283,0.12,-,416,0.18,-,"237,194"
South Carolina,9,"5,858",8.54,-,"62,700",91.39,9,47,0.07,-,-,-,-,-,-,-,"68,605"
South Dakota,5,"157,603",60.18,5,"102,660",39.20,-,443,0.17,-,232,0.09,-,-,-,-,"261,865"
Tennessee,12,"195,388",53.76,12,"167,343",46.04,-,631,0.17,-,111,0.03,-,-,-,-,"363,473"
Texas,20,"367,036",51.77,20,"341,032",48.10,-,722,0.10,-,209,0.03,-,-,-,-,"708,999"
Utah,4,"94,618",53.58,4,"80,985",45.86,-,954,0.54,-,46,0.03,-,-,-,-,"176,603"
Vermont,4,"90,404",66.87,4,"44,440",32.87,-,-,-,-,-,-,-,-,-,-,"135,191"
Virginia,12,"164,609",53.91,12,"140,146",45.90,-,250,0.08,-,173,0.06,-,180,0.06,-,"305,358"
Washington,7,"335,844",67.06,7,"156,772",31.30,-,"2,615",0.52,-,"1,541",0.31,-,"4,068",0.81,-,"500,840"
West Virginia,8,"375,551",58.43,8,"263,784",41.04,-,"1,313",0.20,-,401,0.06,-,-,-,-,"642,752"
Wisconsin,13,"544,205",53.52,13,"450,259",44.28,-,"18,213",1.79,-,"1,528",0.15,-,381,0.04,-,"1,016,831"
Wyoming,3,"52,748",63.68,3,"29,299",35.37,-,788,0.95,-,-,-,-,-,-,-,"82,835"
TOTALS:,531,"21,427,123",58.21,444,"15,015,464",40.80,87,"267,478",0.73,-,"48,551",0.13,-,"21,590",0.06,-,"36,807,012"
