,,Franklin D. Roosevelt:Democratic,,,Thomas E. Dewey:Republican,,,Southern Democrat/ Texas Regulars,,,Norman Thomas:Socialist,,,Other,,,State total
Nevada,3,"29,623",54.62,3,"24,611",45.38,-,-,-,-,-,-,-,-,-,-,"54,234"
New Hampshire,4,"119,663",52.11,4,"109,916",47.87,-,-,-,-,46,0.02,-,-,-,-,"229,625"
New Jersey,16,"987,874",50.31,16,"961,335",48.95,-,-,-,-,"3,358",0.17,-,"11,194",0.57,-,"1,963,761"
New Mexico,4,"81,389",53.47,4,"70,688",46.44,-,-,-,-,-,-,-,148,0.10,-,"152,225"
New York,47,"3,304,238",52.31,47,"2,987,647",47.30,-,-,-,-,"10,553",0.17,-,"14,352",0.23,-,"6,316,790"
North Carolina,14,"527,399",66.71,14,"263,155",33.29,-,-,-,-,-,-,-,-,-,-,"790,554"
North Dakota,4,"100,144",45.48,-,"118,535",53.84,4,-,-,-,943,0.43,-,549,0.25,-,"220,171"
Ohio,25,"1,570,763",49.82,-,"1,582,293",50.18,25,-,-,-,-,-,-,-,-,-,"3,153,056"
Oklahoma,10,"401,549",55.57,10,"319,424",44.20,-,-,-,-,-,-,-,"1,663",0.23,-,"722,636"
Oregon,6,"248,635",51.78,6,"225,365",46.94,-,-,-,-,"3,785",0.79,-,"2,362",0.49,-,"480,147"
Pennsylvania,35,"1,940,479",51.14,35,"1,835,054",48.36,-,-,-,-,"11,721",0.31,-,"7,539",0.20,-,"3,794,793"
Rhode Island,4,"175,356",58.59,4,"123,487",41.26,-,-,-,-,-,-,-,433,0.14,-,"299,276"
South Carolina,8,"90,601",87.64,8,"4,610",4.46,-,"7,799",7.54,-,-,-,-,365,0.35,-,"103,375"
South Dakota,4,"96,711",41.67,-,"135,365",58.33,4,-,-,-,-,-,-,-,-,-,"232,076"
Tennessee,12,"308,707",60.45,12,"200,311",39.22,-,-,-,-,792,0.16,-,882,0.17,-,"510,692"
Texas,23,"821,605",71.42,23,"191,425",16.64,-,"135,439",11.77,-,594,0.05,-,"1,268",0.11,-,"1,150,331"
Utah,4,"150,088",60.44,4,"97,891",39.42,-,-,-,-,340,0.14,-,-,-,-,"248,319"
Vermont,3,"53,820",42.93,-,"71,527",57.06,3,-,-,-,-,-,-,14,0.01,-,"125,361"
Virginia,11,"242,276",62.36,11,"145,243",37.39,-,-,-,-,417,0.11,-,549,0.14,-,"388,485"
Washington,8,"486,774",56.84,8,"361,689",42.24,-,-,-,-,"3,824",0.45,-,"4,041",0.47,-,"856,328"
West Virginia,8,"392,777",54.89,8,"322,819",45.11,-,-,-,-,-,-,-,-,-,-,"715,596"
Wisconsin,12,"650,413",48.57,-,"674,532",50.37,12,-,-,-,"13,205",0.99,-,"1,002",0.07,-,"1,339,152"
Wyoming,3,"49,419",48.77,-,"51,921",51.23,3,-,-,-,-,-,-,-,-,-,"101,340"
Totals:,531,"25,612,916",53.39,432,"22,017,929",45.89,99,"143,238",0.30,-,"79,017",0.16,-,"123,963",0.26,-,"47,977,063"
