,,Andrew Jackson:Democratic,,,John Quincy Adams:National Republican,,,State Total,,,,,,
New York-20,2,"9,081",49.77,-,"9,164",50.23,2,"18,245",,,,,,
New York-21,1,"4,329",58.15,1,"3,116",41.85,-,"7,445",,,,,,
New York-22,1,"4,136",45.40,-,"4,974",54.60,1,"9,110",,,,,,
New York-23,1,"4,264",52.90,1,"3,796",47.10,-,"8,060",,,,,,
New York-24,1,"4,159",63.25,1,"2,416",36.75,-,"6,575",,,,,,
New York-25,1,"5,427",59.10,1,"3,755",40.90,-,"9,182",,,,,,
New York-26,2,"7,011",43.47,-,"9,119",56.53,2,"16,130",,,,,,
New York-27,1,"4,631",39.55,-,"7,079",60.45,1,"11,701",,,,,,
New York-28,1,"5,347",54.89,1,"4,395",45.11,-,"9,742",,,,,,
New York-29,1,"3,256",32.28,-,"6,832",67.72,1,"10,088",,,,,,
New York-30,1,"3,660",31.44,-,"7,983",68.56,1,"11,643",,,,,,
North Carolina,15,"37,634",72.97,15,"13,938",27.03,-,"51,572",,,,,,
Ohio,16,"67,596",51.58,16,"63,456",48.42,-,"131,052",,,,,,
Pennsylvania,28,"102,151",66.79,28,"50,783",33.21,-,"152,934",,,,,,
Rhode Island,4,820,22.95,-,"2,753",77.05,4,"3,573",,,,,,
South Carolina,11,no popular vote,,11,no popular vote,,,-,,,,,,
Tennessee-1,1,"3,136",100.00,1,0,0.00,-,"3,136",,,,,,
Tennessee-2,1,"3,418",95.98,1,143,4.02,-,"3,561",,,,,,
Tennessee-3,1,"4,001",94.03,1,254,5.97,-,"4,255",,,,,,
Tennessee-4,1,"3,211",99.78,1,7,0.22,-,"3,218",,,,,,
Tennessee-5,1,"5,196",98.60,1,74,1.40,-,"5,270",,,,,,
Tennessee-6,1,"3,605",100.00,1,0,0.00,-,"3,605",,,,,,
Tennessee-7,1,"5,008",87.51,1,715,12.49,-,"5,723",,,,,,
Tennessee-8,1,"3,443",99.83,1,6,0.17,-,"3,449",,,,,,
Tennessee-9,1,"4,311",95.14,1,220,4.86,-,"4,531",,,,,,
Tennessee-10,1,"3,481",95.11,1,179,4.89,-,"3,660",,,,,,
Tennessee-11,1,"5,282",89.16,1,642,10.84,-,"5,924",,,,,,
Vermont,7,"8,335",25.49,-,"24,365",74.51,7,"32,700",,,,,,
Virginia,24,"26,842",69.13,24,"11,989",30.87,-,"38,831",,,,,,
TOTALS:,261,"638,348",55.71,178,"507,440",44.29,83,"1,145,788",,,,,,
