,,Dwight D. Eisenhower:Republican,,,Adlai Stevenson:Democratic,,,Vincent Hallinan:Progressive,,,Stuart Hamblen:Prohibition,,,Eric Hass:Socialist Labor,,,State Total
Mississippi,8,"112,966",39.56,–,"172,566",60.44,8,–,–,–,–,–,–,–,–,–,"285,532"
Missouri,13,"959,429",50.71,13,"929,830",49.14,–,987,0.05,–,885,0.05,–,169,0.01,–,"1,892,062"
Montana,4,"157,394",59.39,4,"106,213",40.07,–,723,0.27,–,548,0.21,–,–,–,–,"265,037"
Nebraska,6,"421,603",69.15,6,"188,057",30.85,–,–,–,–,–,–,–,–,–,–,"609,660"
Nevada,3,"50,502",61.45,3,"31,688",38.55,–,–,–,–,–,–,–,–,–,–,"82,190"
New Hampshire,4,"166,287",60.92,4,"106,663",39.08,–,–,–,–,–,–,–,–,–,–,"272,950"
New Jersey,16,"1,374,613",56.81,16,"1,015,902",41.99,–,"5,589",0.23,–,989,0.04,–,"5,815",0.24,–,"2,419,554"
New Mexico,4,"132,170",55.39,4,"105,661",44.28,–,225,0.09,–,297,0.12,–,35,0.01,–,"238,608"
New York,45,"3,952,815",55.45,45,"3,104,601",43.55,–,"64,211",0.90,–,–,–,–,"1,560",0.02,–,"7,128,241"
North Carolina,14,"558,107",46.09,–,"652,803",53.91,14,–,–,–,–,–,–,–,–,–,"1,210,910"
North Dakota,4,"191,712",70.97,4,"76,694",28.39,–,344,0.13,–,302,0.11,–,–,–,–,"270,127"
Ohio,25,"2,100,391",56.76,25,"1,600,367",43.24,–,–,–,–,–,–,–,–,–,–,"3,700,758"
Oklahoma,8,"518,045",54.59,8,"430,939",45.41,–,–,–,–,–,–,–,–,–,–,"948,984"
Oregon,6,"420,815",60.54,6,"270,579",38.93,–,"3,665",0.53,–,–,–,–,–,–,–,"695,059"
Pennsylvania,32,"2,415,789",52.74,32,"2,146,269",46.85,–,"4,222",0.09,–,"8,951",0.20,–,"1,377",0.03,–,"4,580,969"
Rhode Island,4,"210,935",50.89,4,"203,293",49.05,–,187,0.05,–,–,–,–,83,0.02,–,"414,498"
South Carolina,8,"168,082",49.28,–,"173,004",50.72,8,–,–,–,–,–,–,–,–,–,"341,086"
South Dakota,4,"203,857",69.27,4,"90,426",30.73,–,–,–,–,–,–,–,–,–,–,"294,283"
Tennessee,11,"446,147",49.99,11,"443,710",49.71,–,885,0.10,–,"1,432",0.16,–,–,–,–,"892,553"
Texas,24,"1,102,878",53.13,24,"969,228",46.69,–,294,0.01,–,"1,983",0.10,–,–,–,–,"2,075,946"
Utah,4,"194,190",58.93,4,"135,364",41.07,–,–,–,–,–,–,–,–,–,–,"329,554"
Vermont,3,"109,717",71.45,3,"43,355",28.23,–,282,0.18,–,–,–,–,–,–,–,"153,557"
Virginia,12,"349,037",56.32,12,"268,677",43.36,–,311,0.05,–,–,–,–,"1,160",0.19,–,"619,689"
Washington,9,"599,107",54.33,9,"492,845",44.69,–,"2,460",0.22,–,–,–,–,633,0.06,–,"1,102,708"
West Virginia,8,"419,970",48.08,–,"453,578",51.92,8,–,–,–,–,–,–,–,–,–,"873,548"
Wisconsin,12,"979,744",60.95,12,"622,175",38.71,–,"2,174",0.14,–,–,–,–,770,0.05,–,"1,607,370"
Wyoming,3,"81,047",62.71,3,"47,934",37.09,–,–,–,–,194,0.15,–,36,0.03,–,"129,251"
TOTALS:,531,"34,075,529",55.18,442,"27,375,090",44.33,89,"140,746",0.23,–,"73,412",0.12,–,"30,406",0.05,–,"61,751,942"
