,,Harry S. Truman:Democratic,,,Thomas E. Dewey:Republican,,,J. Strom Thurmond:Dixiecrat,,,Henry Wallace:Progressive,,,Norman Thomas:Socialist,,,Other,,,State Total
Indiana,13,"807,833",48.78,-,"821,079",49.58,13,-,-,-,"9,649",0.58,-,"2,179",0.13,-,"15,474",0.93,-,"1,656,214"
Iowa,10,"522,380",50.31,10,"494,018",47.58,-,-,-,-,"12,125",1.17,-,"1,829",0.18,-,"7,912",0.76,-,"1,038,264"
Kansas,8,"351,902",44.61,-,"423,039",53.63,8,-,-,-,"4,603",0.58,-,"2,807",0.36,-,"6,468",0.82,-,"788,819"
Kentucky,11,"466,756",56.74,11,"341,210",41.48,-,"10,411",1.27,-,"1,567",0.19,-,"1,284",0.16,-,"1,430",0.17,-,"822,658"
Louisiana,10,"136,344",32.75,-,"72,657",17.45,-,"204,290",49.07,10,"3,035",0.73,-,-,-,-,10,0.00,-,"416,336"
Maine,5,"111,916",42.27,-,"150,234",56.74,5,-,-,-,"1,884",0.71,-,547,0.21,-,206,0.08,-,"264,787"
Maryland,8,"286,521",48.01,-,"294,814",49.40,8,"2,489",0.42,-,"9,983",1.67,-,"2,941",0.49,-,-,-,-,"596,735"
Massachusetts,16,"1,151,788",54.66,16,"909,370",43.16,-,-,-,-,"38,157",1.81,-,-,-,-,"7,831",0.37,-,"2,107,146"
Michigan,19,"1,003,448",47.57,-,"1,038,595",49.23,19,-,-,-,"46,515",2.20,-,"6,063",0.29,-,"14,988",0.71,-,"2,109,609"
Minnesota,11,"692,966",57.16,11,"483,617",39.89,-,-,-,-,"27,866",2.30,-,"4,646",0.38,-,"3,131",0.26,-,"1,212,226"
Mississippi,9,"19,384",10.09,-,"5,043",2.62,-,"167,538",87.17,9,225,0.12,-,-,-,-,-,-,-,"192,190"
Missouri,15,"917,315",58.11,15,"655,039",41.49,-,42,0.00,-,"3,998",0.25,-,"2,222",0.14,-,12,0.00,-,"1,578,628"
Montana,4,"119,071",53.09,4,"96,770",43.15,-,-,-,-,"7,313",3.26,-,695,0.31,-,429,0.19,-,"224,278"
Nebraska,6,"224,165",45.85,-,"264,774",54.15,6,-,-,-,-,-,-,-,-,-,1,0.00,-,"488,940"
Nevada,3,"31,291",50.37,3,"29,357",47.26,-,-,-,-,"1,469",2.36,-,-,-,-,-,-,-,"62,117"
New Hampshire,4,"107,995",46.66,-,"121,299",52.41,4,7,0.00,-,"1,970",0.85,-,86,0.04,-,83,0.04,-,"231,440"
New Jersey,16,"895,455",45.93,-,"981,124",50.33,16,-,-,-,"42,683",2.19,-,"10,521",0.54,-,"19,772",1.01,-,"1,949,555"
New Mexico,4,"105,464",56.38,4,"80,303",42.93,-,-,-,-,"1,037",0.55,-,83,0.04,-,176,0.09,-,"187,063"
New York,47,"2,780,204",45.01,-,"2,841,163",45.99,47,-,-,-,"509,559",8.25,-,"40,879",0.66,-,"5,532",0.09,-,"6,177,337"
North Carolina,14,"459,070",58.02,14,"258,572",32.68,-,"69,652",8.80,-,"3,915",0.49,-,-,-,-,-,-,-,"791,209"
North Dakota,4,"95,812",43.41,-,"115,139",52.17,4,374,0.17,-,"8,391",3.80,-,"1,000",0.45,-,-,-,-,"220,716"
Ohio,25,"1,452,791",49.48,25,"1,445,684",49.24,-,-,-,-,"37,596",1.28,-,-,-,-,-,-,-,"2,936,071"
Oklahoma,10,"452,782",62.75,10,"268,817",37.25,-,-,-,-,-,-,-,-,-,-,-,-,-,"721,599"
Oregon,6,"243,147",46.40,-,"260,904",49.78,6,-,-,-,"14,978",2.86,-,"5,051",0.96,-,-,-,-,"524,080"
Pennsylvania,35,"1,752,426",46.92,-,"1,902,197",50.93,35,-,-,-,"55,161",1.48,-,"11,325",0.30,-,"14,039",0.38,-,"3,735,148"
Rhode Island,4,"188,736",57.59,4,"135,787",41.44,-,-,-,-,"2,619",0.80,-,429,0.13,-,131,0.04,-,"327,702"
South Carolina,8,"34,423",24.14,-,"5,386",3.78,-,"102,607",71.97,8,154,0.11,-,1,0.00,-,-,-,-,"142,571"
South Dakota,4,"117,653",47.04,-,"129,651",51.84,4,-,-,-,"2,801",1.12,-,-,-,-,-,-,-,"250,105"
Tennessee,12,"270,402",49.14,11,"202,914",36.87,-,"73,815",13.41,1,"1,864",0.34,-,"1,288",0.23,-,-,-,-,"550,283"
Texas,23,"824,235",65.96,23,"303,467",24.29,-,"113,776",9.11,-,"3,920",0.31,-,919,0.07,-,"3,260",0.26,-,"1,249,577"
Utah,4,"149,151",53.98,4,"124,402",45.02,-,-,-,-,"2,679",0.97,-,-,-,-,73,0.03,-,"276,305"
Vermont,3,"45,557",36.92,-,"75,926",61.54,3,-,-,-,"1,279",1.04,-,585,0.47,-,35,0.03,-,"123,382"
Virginia,11,"200,786",47.89,11,"172,070",41.04,-,"43,393",10.35,-,"2,047",0.49,-,726,0.17,-,234,0.06,-,"419,256"
Washington,8,"475,165",52.56,8,"386,314",42.73,-,-,-,-,"31,692",3.51,-,"3,534",0.39,-,"7,353",0.81,-,"904,058"
West Virginia,8,"429,188",57.32,8,"316,251",42.24,-,-,-,-,"3,311",0.44,-,-,-,-,-,-,-,"748,750"
Wisconsin,12,"647,310",50.70,12,"590,959",46.28,-,-,-,-,"25,282",1.98,-,"12,547",0.98,-,702,0.05,-,"1,276,800"
Wyoming,3,"52,354",51.62,3,"47,947",47.27,-,-,-,-,931,0.92,-,137,0.14,-,56,0.06,-,"101,425"
TOTALS:,531,"24,178,347",49.55,303,"21,991,292",45.07,189,"1,176,023",2.41,39,"1,157,328",2.37,-,"139,569",0.29,-,"150,069",0.31,-,"48,792,535"
