,,Theodore Roosevelt:Republican,,,Alton B. Parker:Democratic,,,Eugene V. Debs:Socialist,,,Silas Swallow:Prohibition,,,Thomas Watson:Populist,,,Charles Corregan:Socialist Labor,,,State total
Nevada,3,"6,864",56.66,3,"3,982",32.87,-,925,7.64,-,-,-,-,344,2.84,-,-,-,-,"12,115"
New Hampshire,4,"54,163",60.07,4,"34,074",37.79,-,"1,090",1.21,-,750,0.83,-,83,0.09,-,-,-,-,"90,161"
New Jersey,12,"245,164",56.68,12,"164,566",38.05,-,"9,587",2.22,-,"6,845",1.58,-,"3,705",0.86,-,"2,680",0.62,-,"432,547"
New York,39,"859,533",53.13,39,"683,981",42.28,-,"36,883",2.28,-,"20,787",1.28,-,"7,459",0.46,-,"9,127",0.56,-,"1,617,770"
North Carolina,12,"82,442",39.67,-,"124,091",59.71,12,124,0.06,-,342,0.16,-,819,0.39,-,-,-,-,"207,818"
North Dakota,4,"52,595",75.12,4,"14,273",20.39,-,"2,009",2.87,-,"1,137",1.62,-,-,-,-,-,-,-,"70,014"
Ohio,23,"600,095",59.75,23,"344,674",34.32,-,"36,260",3.61,-,"19,339",1.93,-,"1,392",0.14,-,"2,633",0.26,-,"1,004,393"
Oregon,4,"60,455",67.06,4,"17,521",19.43,-,"7,619",8.45,-,"3,806",4.22,-,753,0.84,-,-,-,-,"90,154"
Pennsylvania,34,"840,949",68.00,34,"337,998",27.33,-,"21,863",1.77,-,"33,717",2.73,-,-,-,-,"2,211",0.18,-,"1,236,738"
Rhode Island,4,"41,605",60.60,4,"24,839",36.18,-,956,1.39,-,768,1.12,-,-,-,-,488,0.71,-,"68,656"
South Carolina,9,"2,554",4.63,-,"52,563",95.36,9,-,-,-,-,-,-,1,0.00,-,-,-,-,"55,118"
South Dakota,4,"72,083",71.09,4,"21,969",21.67,-,"3,138",3.09,-,"2,965",2.92,-,"1,240",1.22,-,-,-,-,"101,395"
Tennessee,12,"105,363",43.40,-,"131,653",54.23,12,"1,354",0.56,-,"1,889",0.78,-,"2,491",1.03,-,-,-,-,"242,750"
Texas,18,"51,242",21.90,-,"167,200",71.45,18,"2,791",1.19,-,"4,292",1.83,-,"8,062",3.45,-,421,0.18,-,"234,008"
Utah,3,"62,446",61.42,3,"33,413",32.86,-,"5,767",5.67,-,-,-,-,-,-,-,-,-,-,"101,672"
Vermont,4,"40,459",77.97,4,"9,777",18.84,-,859,1.66,-,792,1.53,-,-,-,-,-,-,-,"51,888"
Virginia,12,"48,180",36.95,-,"80,649",61.84,12,202,0.15,-,"1,379",1.06,-,-,-,-,-,-,-,"130,410"
Washington,5,"101,540",69.95,5,"28,098",19.36,-,"10,023",6.91,-,"3,229",2.22,-,669,0.46,-,"1,592",1.10,-,"145,151"
West Virginia,7,"132,620",55.26,7,"100,855",42.03,-,"1,573",0.66,-,"4,599",1.92,-,339,0.14,-,-,-,-,"239,986"
Wisconsin,13,"280,315",63.21,13,"124,205",28.01,-,"28,240",6.37,-,"9,872",2.23,-,560,0.13,-,249,0.06,-,"443,441"
Wyoming,3,"20,489",66.72,3,"8,930",29.08,-,"1,072",3.49,-,217,0.71,-,-,-,-,-,-,-,"30,708"
TOTALS:,476,"7,630,557",56.42,336,"5,083,880",37.59,140,"402,810",2.98,-,"259,103",1.92,-,"114,062",0.84,-,"33,454",0.25,-,"13,525,095"
