,,George W. Bush:Republican,,,John Kerry:Democratic,,,Ralph Nader:Independent / Reform,,,Michael Badnarik:Libertarian,,,Michael Peroutka:Constitution,,,David Cobb:Green,,,Others,,,State Total
Louisiana,9,"1,102,169",56.72,9,"820,299",42.22,0,"7,032",0.36,0,"2,781",0.14,0,"5,203",0.27,0,"1,276",0.07,0,"4,346",0.22,0,"1,943,106"
Maine,2,"330,201",44.58,0,"396,842",53.57,2,"8,069",1.09,0,"1,965",0.27,0,735,0.10,0,"2,936",0.40,0,4,0.00,0,"740,752"
Maine-1,1,"165,824",43.14,0,"211,703",55.07,1,"4,004",1.04,0,"1,047",0.27,0,346,0.09,0,"1,468",0.38,0,0,0,0,"384,392"
Maine-2,1,"164,377",46.13,0,"185,139",51.95,1,"4,065",1.14,0,918,0.26,0,389,0.11,0,"1,468",0.41,0,0,0,0,"356,356"
Maryland,10,"1,024,703",42.93,0,"1,334,493",55.91,10,"11,854",0.50,0,"6,094",0.26,0,"3,421",0.14,0,"3,632",0.15,0,"2,481",0.10,0,"2,386,678"
Massachusetts,12,"1,071,109",36.78,0,"1,803,800",61.94,12,"4,806",0.17,0,"15,022",0.52,0,0,0.00,0,"10,623",0.36,0,"7,028",0.24,0,"2,912,388"
Michigan,17,"2,313,746",47.81,0,"2,479,183",51.23,17,"24,035",0.50,0,"10,552",0.22,0,"4,980",0.10,0,"5,325",0.11,0,"1,431",0.03,0,"4,839,252"
Minnesota,10,"1,346,695",47.61,0,"1,445,014",51.09,9,"18,683",0.66,0,"4,639",0.16,0,"3,074",0.11,0,"4,408",0.16,0,"5,874",0.21,0,"2,828,387"
Mississippi,6,"684,981",59.45,6,"458,094",39.76,0,"3,177",0.28,0,"1,793",0.16,0,"1,759",0.15,0,"1,073",0.09,0,"1,268",0.11,0,"1,152,145"
Missouri,11,"1,455,713",53.30,11,"1,259,171",46.10,0,"1,294",0.05,0,"9,831",0.36,0,"5,355",0.20,0,0,0.00,0,0,0.00,0,"2,731,364"
Montana,3,"266,063",59.07,3,"173,710",38.56,0,"6,168",1.37,0,"1,733",0.38,0,"1,764",0.39,0,996,0.22,0,11,0.00,0,"450,445"
Nebraska,2,"512,814",65.90,2,"254,328",32.68,0,"5,698",0.73,0,"2,041",0.26,0,"1,314",0.17,0,978,0.13,0,"1,013",0.13,0,"778,186"
Nebraska-1,1,"169,888",62.97,1,"96,314",35.70,0,"2,025",0.75,0,656,0.24,0,405,0.15,0,453,0.17,0,30,0.01,0,"269,771"
Nebraska-2,1,"153,041",60.24,1,"97,858",38.52,0,"1,731",0.68,0,813,0.32,0,305,0.12,0,261,0.10,0,23,0.01,0,"254,032"
Nebraska-3,1,"189,885",74.92,1,"60,156",23.73,0,"1,942",0.77,0,572,0.23,0,604,0.24,0,264,0.10,0,29,0.01,0,"253,452"
Nevada,5,"418,690",50.47,5,"397,190",47.88,0,"4,838",0.58,0,"3,176",0.38,0,"1,152",0.14,0,853,0.10,0,"3,688",0.44,0,"829,587"
New Hampshire,4,"331,237",48.87,0,"340,511",50.24,4,"4,479",0.66,0,372,0.05,0,161,0.02,0,0,0.00,0,978,0.14,0,"677,738"
New Jersey,15,"1,670,003",46.24,0,"1,911,430",52.92,15,"19,418",0.54,0,"4,514",0.12,0,"2,750",0.08,0,"1,807",0.05,0,"1,769",0.05,0,"3,611,691"
New Mexico,5,"376,930",49.84,5,"370,942",49.05,0,"4,053",0.54,0,"2,382",0.31,0,771,0.10,0,"1,226",0.16,0,0,0.00,0,"756,304"
New York,31,"2,962,567",40.08,0,"4,314,280",58.37,31,"99,873",1.35,0,"11,607",0.16,0,207,0.00,0,87,0.00,0,"2,415",0.03,0,"7,391,036"
North Carolina,15,"1,961,166",56.02,15,"1,525,849",43.58,0,"1,805",0.05,0,"11,731",0.34,0,0,0.00,0,108,0.00,0,348,0.01,0,"3,501,007"
North Dakota,3,"196,651",62.86,3,"111,052",35.50,0,"3,756",1.20,0,851,0.27,0,514,0.16,0,0,0.00,0,9,0.00,0,"312,833"
Ohio,20,"2,859,768",50.81,20,"2,741,167",48.71,0,0,0.00,0,"14,676",0.26,0,"11,939",0.21,0,192,0.00,0,166,0.00,0,"5,627,908"
Oklahoma,7,"959,792",65.57,7,"503,966",34.43,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,"1,463,758"
Oregon,7,"866,831",47.19,0,"943,163",51.35,7,0,0.00,0,"7,260",0.40,0,"5,257",0.29,0,"5,315",0.29,0,"8,956",0.49,0,"1,836,782"
Pennsylvania,21,"2,793,847",48.42,0,"2,938,095",50.92,21,"2,656",0.05,0,"21,185",0.37,0,"6,318",0.11,0,"6,319",0.11,0,"1,170",0.02,0,"5,769,590"
Rhode Island,4,"169,046",38.67,0,"259,765",59.42,4,"4,651",1.06,0,907,0.21,0,339,0.08,0,"1,333",0.30,0,"1,093",0.25,0,"437,134"
South Carolina,8,"937,974",57.98,8,"661,699",40.90,0,"5,520",0.34,0,"3,608",0.22,0,"5,317",0.33,0,"1,488",0.09,0,"2,124",0.13,0,"1,617,730"
South Dakota,3,"232,584",59.91,3,"149,244",38.44,0,"4,320",1.11,0,964,0.25,0,"1,103",0.28,0,0,0.00,0,0,0.00,0,"388,215"
Tennessee,11,"1,384,375",56.80,11,"1,036,477",42.53,0,"8,992",0.37,0,"4,866",0.20,0,"2,570",0.11,0,33,0.00,0,6,0.00,0,"2,437,319"
Texas,34,"4,526,917",61.09,34,"2,832,704",38.22,0,"9,159",0.12,0,"38,787",0.52,0,"1,636",0.02,0,"1,014",0.01,0,548,0.01,0,"7,410,765"
Utah,5,"663,742",71.54,5,"241,199",26.00,0,"11,305",1.22,0,"3,375",0.36,0,"6,841",0.74,0,39,0.00,0,"1,343",0.14,0,"927,844"
Vermont,3,"121,180",38.80,0,"184,067",58.94,3,"4,494",1.44,0,"1,102",0.35,0,0,0.00,0,0,0.00,0,"1,466",0.47,0,"312,309"
Virginia,13,"1,716,959",53.68,13,"1,454,742",45.48,0,"2,393",0.07,0,"11,032",0.34,0,"10,161",0.32,0,104,0.00,0,"2,976",0.09,0,"3,198,367"
Washington,11,"1,304,894",45.64,0,"1,510,201",52.82,11,"23,283",0.81,0,"11,955",0.42,0,"3,922",0.14,0,"2,974",0.10,0,"1,855",0.06,0,"2,859,084"
West Virginia,5,"423,778",56.06,5,"326,541",43.20,0,"4,063",0.54,0,"1,405",0.19,0,82,0.01,0,5,0.00,0,13,0.00,0,"755,887"
Wisconsin,10,"1,478,120",49.32,0,"1,489,504",49.70,10,"16,390",0.55,0,"6,464",0.22,0,0,0.00,0,"2,661",0.09,0,"3,868",0.13,0,"2,997,007"
Wyoming,3,"167,629",68.86,3,"70,776",29.07,0,"2,741",1.13,0,"1,171",0.48,0,631,0.26,0,0,0.00,0,480,0.20,0,"243,428"
U.S Total,538,"62,040,610",50.73,286,"59,028,444",48.27,251,"465,151",0.38,0,"397,265",0.32,0,"143,630",0.12,0,"119,859",0.10,0,"99,887",0.08,0,"122,294,846"
