,,Franklin D. Roosevelt:Democratic,,,Alfred Landon:Republican,,,William Lemke:Union,,,Norman Thomas:Socialist,,,Other,,,State total
North Dakota,4,"163,148",59.60,4,"72,751",26.58,-,"36,708",13.41,-,552,0.20,-,557,0.20,-,"273,716"
Ohio,26,"1,747,140",57.99,26,"1,127,855",37.44,-,"132,212",4.39,-,117,0.00,-,"5,265",0.17,-,"3,012,589"
Oklahoma,11,"501,069",66.83,11,"245,122",32.69,-,-,-,-,"2,221",0.30,-,"1,328",0.18,-,"749,740"
Oregon,5,"266,733",64.42,5,"122,706",29.64,-,"21,831",5.27,-,"2,143",0.52,-,608,0.15,-,"414,021"
Pennsylvania,36,"2,353,987",56.88,36,"1,690,200",40.84,-,"67,468",1.63,-,"14,599",0.35,-,"12,172",0.29,-,"4,138,426"
Rhode Island,4,"165,238",53.10,4,"125,031",40.18,-,"19,569",6.29,-,-,-,-,"1,340",0.43,-,"311,178"
South Carolina,8,"113,791",98.57,8,"1,646",1.43,-,-,-,-,-,-,-,-,-,-,"115,437"
South Dakota,4,"160,137",54.02,4,"125,977",42.49,-,"10,338",3.49,-,-,-,-,-,-,-,"296,472"
Tennessee,11,"328,083",68.85,11,"146,520",30.75,-,296,0.06,-,686,0.14,-,953,0.20,-,"476,538"
Texas,23,"734,485",87.08,23,"103,874",12.31,-,"3,281",0.39,-,"1,075",0.13,-,767,0.09,-,"843,482"
Utah,4,"150,246",69.34,4,"64,555",29.79,-,"1,121",0.52,-,432,0.20,-,323,0.15,-,"216,677"
Vermont,3,"62,124",43.24,-,"81,023",56.39,3,-,-,-,-,-,-,542,0.38,-,"143,689"
Virginia,11,"234,980",70.23,11,"98,336",29.39,-,233,0.07,-,313,0.09,-,728,0.22,-,"334,590"
Washington,8,"459,579",66.38,8,"206,892",29.88,-,"17,463",2.52,-,"3,496",0.50,-,"4,908",0.71,-,"692,338"
West Virginia,8,"502,582",60.56,8,"325,358",39.20,-,-,-,-,832,0.10,-,"1,173",0.14,-,"829,945"
Wisconsin,12,"802,984",63.80,12,"380,828",30.26,-,"60,297",4.79,-,"10,626",0.84,-,"3,825",0.30,-,"1,258,560"
Wyoming,3,"62,624",60.58,3,"38,739",37.47,-,"1,653",1.60,-,200,0.19,-,166,0.16,-,"103,382"
TOTALS:,531,"27,752,648",60.80,523,"16,681,862",36.54,8,"892,378",1.95,-,"187,910",0.41,-,"132,901",0.29,-,"45,647,699"
